text,speaker,context,sarcasm,show
It's just a privilege to watch your mind at work.,SHELDON,False,True,BBT
I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.,LEONARD,True,True,BBT
My apologies. What's your plan?,SHELDON,True,True,BBT
I don't think I'll be able to stop thinking about it.,PENNY,False,True,BBT
This is one of my favorite places to kick back after a quest. They have a great house ale.,HOWARD,True,True,BBT
Cool tiger.,PENNY,True,True,BBT
"Yeah, I've had him since level ten.",HOWARD,True,True,BBT
His name is Buttons.,HOWARD,True,True,BBT
"Anyway, if you had your own game character we could hang out, maybe go on a quest.",HOWARD,True,True,BBT
That sounds interesting.,PENNY,True,True,BBT
You'll think about it?,HOWARD,True,True,BBT
"Since it's not bee season, you can have my epinephrine.",SHELDON,False,False,BBT
"Here we go. Pad thai, no peanuts.",LEONARD,True,False,BBT
But does it have peanut oil?,HOWARD,True,False,BBT
I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.,LEONARD,True,False,BBT
"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.",SHELDON,False,False,BBT
A marathon? How many Superman movies are there?,PENNY,True,False,BBT
"You're kidding, right?",SHELDON,True,False,BBT
I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?,PENNY,True,False,BBT
One.,SHELDON,True,False,BBT
You realize that scene was rife with scientific inaccuracy.,SHELDON,True,False,BBT
"Yes, I know, men can't fly.",PENNY,True,False,BBT
Let's assume that they can.,SHELDON,True,False,BBT
I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,SHELDON,False,True,BBT
"Great Caesar's ghost, look at this place.",SHELDON,True,True,BBT
So Penny's a little messy.,LEONARD,True,True,BBT
A little messy?,SHELDON,True,True,BBT
The Mandelbrot set of complex numbers is a little messy. This is chaos.,SHELDON,True,True,BBT
Excuse me.,SHELDON,True,True,BBT
Explain to me an organizational system where a tray of flatware on a couch is valid.,SHELDON,True,True,BBT
